,event,eta,phi,PT,jmass,ntrk,btag,hadem
2810,9648,-0.844,1.717,946.62,0.11,-1.0,5.0,947.0
2811,9666,-0.061,-2.387,1914.74,0.11,-1.0,4.0,1915.0
2812,9667,-1.204,-2.06,773.72,0.11,1.0,5.0,859.2
2813,9669,-0.426,2.073,381.01,0.11,1.0,7.0,398.1
2814,9675,-1.831,-3.062,386.02,0.11,1.0,4.0,386.0
2815,9681,0.257,-0.576,1743.69,0.11,-1.0,5.0,1744.0
2816,9691,0.43,-1.239,820.48,0.11,1.0,5.0,823.06
2817,9692,0.897,-1.896,1147.61,0.11,1.0,3.0,1149.0
2818,9694,0.843,3.002,726.71,0.11,1.0,7.0,728.0
2819,9695,-0.47,2.256,1272.84,0.11,1.0,4.0,1274.0
2820,9700,1.141,1.967,30.47,0.11,-1.0,17.0,31.05
2821,9705,-0.313,-1.763,1296.27,0.11,1.0,4.0,1296.07
2822,9724,-1.63,-2.485,374.56,0.11,-1.0,3.0,377.0
2823,9734,-0.198,0.428,439.63,0.11,-1.0,9.0,478.18
2824,9745,-0.048,2.224,398.63,0.11,-1.0,3.0,399.0
2825,9751,0.441,-2.04,6580.34,0.11,-1.0,6.0,6585.0
2826,9751,-0.12,3.08,71.26,0.11,1.0,6.0,71.0
2827,9754,-2.181,2.079,454.95,0.11,1.0,9.0,455.01
2828,9754,1.661,-2.104,54.39,0.11,1.0,8.0,54.02
2829,9764,0.491,1.165,105.28,0.11,1.0,8.0,108.03
2830,9778,-0.565,-2.737,1014.53,0.11,1.0,6.0,1015.0
2831,9781,-0.859,2.079,20.09,0.11,1.0,5.0,20.2
2832,9782,0.872,-1.979,448.08,0.11,1.0,9.0,490.14
2833,9782,0.961,-1.279,12.52,0.11,1.0,9.0,13.0
2834,9789,-1.992,2.317,251.78,0.11,-1.0,7.0,252.0
2835,9792,0.329,0.787,893.78,0.11,-1.0,10.0,959.1
2836,9792,-1.285,-1.529,300.49,0.11,-1.0,15.0,300.01
2837,9792,1.542,-1.968,165.05,0.11,1.0,9.0,207.25
2838,9796,0.949,-3.121,235.84,0.11,1.0,6.0,236.0
2839,9796,-0.066,-1.092,49.87,0.11,1.0,5.0,56.28
2840,9799,-0.033,-1.121,1082.57,0.11,1.0,5.0,1247.22
2841,9800,-0.129,-2.401,811.58,0.11,-1.0,6.0,812.0
2842,9847,0.521,1.249,1355.84,0.11,1.0,4.0,1434.13
2843,9853,2.318,1.086,399.63,0.11,1.0,7.0,400.0
2844,9854,-0.998,-2.706,552.33,0.11,1.0,2.0,553.0
2845,9857,-2.322,-0.988,589.31,0.11,-1.0,6.0,672.01
2846,9857,-1.943,-1.11,82.57,0.11,1.0,6.0,672.0
2847,9859,0.137,-1.478,307.44,0.11,1.0,4.0,307.0
2848,9868,-0.79,1.991,318.48,0.11,-1.0,5.0,320.02
2849,9880,-0.866,0.269,212.69,0.11,1.0,8.0,221.09
2850,9883,1.789,2.765,162.41,0.11,1.0,7.0,163.03
2851,9887,-1.273,0.726,1002.1,0.11,-1.0,5.0,1006.22
2852,9890,-0.984,-1.611,447.28,0.11,1.0,8.0,461.06
2853,9893,-0.701,2.529,145.78,0.11,1.0,3.0,147.0
2854,9926,0.373,2.335,2472.4,0.11,1.0,7.0,2472.0
2855,9929,-1.224,2.73,181.8,0.11,1.0,5.0,185.99
2856,9931,-0.997,-1.97,1419.14,0.11,1.0,6.0,1425.0
2857,7,0.829,-0.856,184.72,0.11,1.0,10.0,197.08
2858,9,0.203,-1.577,48.61,0.11,-1.0,4.0,61.17
2859,15,0.914,-0.979,826.27,0.11,-1.0,4.0,826.0
2860,34,1.234,1.347,1219.8,0.11,-1.0,3.0,1221.0
2861,36,1.504,2.073,2445.68,0.11,-1.0,5.0,2446.05
2862,38,0.056,0.062,82.26,0.11,1.0,6.0,82.0
2863,42,0.844,-0.341,664.68,0.11,-1.0,5.0,665.0
2864,51,-1.286,2.192,41.27,0.11,1.0,5.0,41.0
2865,55,0.614,1.488,1957.79,0.11,-1.0,4.0,1958.0
2866,59,-0.037,0.83,1476.73,0.11,-1.0,5.0,1478.0
2867,60,-0.966,-2.149,781.39,0.11,1.0,3.0,781.0
2868,80,-0.392,1.056,1103.2,0.11,1.0,5.0,1103.0
2869,99,0.349,-0.949,391.19,0.11,-1.0,3.0,391.01
2870,108,-0.118,-2.162,2079.42,0.11,1.0,4.0,2079.0
2871,127,-0.788,-0.977,1420.0,0.11,1.0,7.0,1420.18
2872,129,-0.617,-2.058,1127.52,0.11,1.0,5.0,1128.0
2873,157,-0.058,1.811,1566.12,0.11,-1.0,2.0,1566.0
2874,162,-0.312,1.184,315.24,0.11,-1.0,4.0,316.0
2875,165,-1.034,-1.612,1081.55,0.11,-1.0,6.0,1083.0
2876,192,0.61,2.271,752.86,0.11,1.0,3.0,753.0
2877,193,-0.22,1.314,61.47,0.11,1.0,4.0,62.0
2878,201,0.264,0.467,2257.07,0.11,-1.0,8.0,3156.01
2879,201,0.315,0.516,892.28,0.11,1.0,8.0,3149.0
2880,209,-0.509,0.351,1077.49,0.11,1.0,5.0,1078.01
2881,212,-1.329,-2.244,896.66,0.11,1.0,6.0,897.0
2882,216,1.183,0.896,371.01,0.11,1.0,5.0,371.0
2883,222,2.324,-2.035,111.08,0.11,1.0,8.0,111.0
2884,230,-0.559,1.098,1379.02,0.11,1.0,7.0,1533.14
2885,231,-0.256,3.099,981.53,0.11,-1.0,6.0,985.02
2886,232,0.452,-2.359,423.84,0.11,-1.0,7.0,490.23
2887,234,0.232,-0.292,659.66,0.11,1.0,15.0,686.06
2888,236,1.505,-0.351,1156.54,0.11,1.0,5.0,1157.0
2889,236,-0.324,-0.694,1128.65,0.11,-1.0,5.0,1129.0
2890,239,-0.169,-0.23,611.18,0.11,1.0,5.0,611.0
2891,240,-0.276,-0.008,592.54,0.11,1.0,3.0,696.19
2892,242,-0.417,-1.442,1518.97,0.11,-1.0,6.0,1550.04
2893,245,-0.815,2.881,423.31,0.11,1.0,0.0,423.0
2894,255,0.327,-1.014,1268.87,0.11,1.0,10.0,1269.0
2895,261,-0.038,-2.16,1138.98,0.11,1.0,4.0,1180.03
2896,261,-0.468,0.895,824.6,0.11,-1.0,5.0,825.0
2897,271,0.619,1.726,1833.82,0.11,-1.0,6.0,1834.0
2898,275,0.449,2.271,2638.5,0.11,1.0,7.0,2639.01
2899,283,0.408,2.036,146.97,0.11,-1.0,4.0,487.99
2900,287,0.698,1.828,160.26,0.11,1.0,7.0,361.99
2901,295,-0.131,-2.252,10.64,0.11,1.0,3.0,11.0
2902,296,0.219,2.199,1194.5,0.11,1.0,7.0,1215.03
2903,296,0.329,-2.876,82.35,0.11,1.0,8.0,116.43
2904,296,2.025,1.384,50.88,0.11,1.0,11.0,51.04
2905,308,0.475,-0.083,6076.99,0.11,1.0,6.0,6271.0
2906,308,0.54,-0.175,192.93,0.11,-1.0,8.0,6271.05
2907,311,0.246,1.655,2844.35,0.11,1.0,8.0,2854.0
2908,311,0.377,2.423,812.8,0.11,-1.0,9.0,814.0
2909,322,-0.477,-0.368,3646.11,0.11,-1.0,5.0,3646.0
2910,322,1.521,-1.395,96.95,0.11,1.0,4.0,97.02
2911,323,0.903,2.345,458.93,0.11,1.0,5.0,671.01
2912,324,0.129,2.317,1250.17,0.11,-1.0,5.0,1250.0
2913,324,-0.766,-0.856,499.82,0.11,1.0,7.0,500.11
2914,336,0.2,0.037,397.43,0.11,-1.0,4.0,399.01
2915,342,0.132,0.291,1966.44,0.11,-1.0,7.0,1979.02
2916,342,-2.004,-1.536,45.18,0.11,-1.0,8.0,45.09
2917,359,0.505,-2.291,1246.82,0.11,-1.0,10.0,1248.0
2918,361,-1.676,-2.655,32.48,0.11,-1.0,3.0,32.0
2919,363,-0.839,-1.337,836.79,0.11,-1.0,3.0,837.04
2920,375,0.753,0.747,1257.04,0.11,-1.0,7.0,1257.0
2921,388,-0.038,2.573,1342.86,0.11,1.0,8.0,1343.0
2922,393,1.331,0.586,746.06,0.11,1.0,3.0,746.0
2923,410,-0.567,-1.259,1727.78,0.11,1.0,7.0,1728.0
2924,422,-0.191,2.935,292.29,0.11,1.0,6.0,295.01
2925,444,-0.783,-1.916,1668.8,0.11,-1.0,8.0,1705.05
2926,452,0.476,-0.756,951.18,0.11,1.0,3.0,951.0
2927,457,1.398,2.968,304.75,0.11,1.0,11.0,313.22
2928,460,1.142,-0.554,881.37,0.11,-1.0,7.0,881.0
2929,464,-1.528,1.966,639.04,0.11,-1.0,8.0,658.08
2930,468,0.871,2.502,1041.09,0.11,-1.0,9.0,1041.03
2931,469,-1.461,-2.064,83.34,0.11,-1.0,9.0,83.0
2932,473,0.587,-2.739,3110.34,0.11,-1.0,7.0,3110.0
2933,479,-0.796,-2.687,1014.95,0.11,1.0,5.0,1015.0
2934,480,0.614,0.367,1532.7,0.11,1.0,9.0,1576.04
2935,480,-0.661,-0.421,1507.75,0.11,-1.0,7.0,1516.01
2936,498,-0.871,-2.365,1176.53,0.11,-1.0,4.0,1570.0
2937,498,1.585,2.725,538.76,0.11,1.0,7.0,539.0
2938,498,-0.744,-2.414,392.67,0.11,1.0,4.0,1570.01
2939,501,0.502,-1.142,52.18,0.11,1.0,6.0,53.0
2940,513,-0.429,-2.326,3621.37,0.11,1.0,6.0,3621.07
2941,517,-1.525,2.76,1125.08,0.11,1.0,3.0,1125.0
2942,523,-0.865,-2.162,565.57,0.11,-1.0,5.0,566.05
2943,535,-0.331,0.291,2589.94,0.11,1.0,5.0,2590.0
2944,540,1.483,-1.797,651.98,0.11,1.0,5.0,652.0
2945,549,1.956,-0.174,246.69,0.11,1.0,6.0,247.0
2946,551,0.768,-2.162,1689.51,0.11,1.0,4.0,1696.0
2947,552,-0.92,0.548,1060.29,0.11,-1.0,7.0,1063.0
2948,552,0.669,0.182,322.98,0.11,1.0,9.0,324.0
2949,559,0.872,0.804,2868.7,0.11,-1.0,4.0,2869.0
2950,559,-0.492,-2.956,1420.41,0.11,1.0,10.0,1420.0
2951,568,0.922,0.842,278.06,0.11,1.0,7.0,281.03
2952,571,1.937,-1.868,15.37,0.11,1.0,6.0,15.0
2953,577,0.52,1.492,292.75,0.11,-1.0,3.0,299.02
2954,585,-0.883,-2.224,1728.78,0.11,1.0,10.0,1729.0
2955,597,-0.444,0.976,194.11,0.11,1.0,7.0,209.16
2956,607,1.192,1.677,100.71,0.11,-1.0,3.0,101.01
2957,623,1.387,-3.114,70.23,0.11,1.0,5.0,73.08
2958,647,-0.575,-2.4,2615.87,0.11,-1.0,4.0,2616.0
2959,660,0.578,-2.388,1244.73,0.11,-1.0,6.0,1255.01
2960,664,-0.843,1.464,347.54,0.11,-1.0,6.0,356.01
2961,664,1.07,-1.634,55.6,0.11,1.0,4.0,60.16
2962,667,0.911,2.023,1796.39,0.11,-1.0,4.0,1870.0
2963,667,0.78,1.848,73.86,0.11,1.0,6.0,1870.0
2964,670,1.395,-1.158,257.03,0.11,1.0,3.0,257.0
2965,671,0.883,2.414,913.75,0.11,1.0,3.0,916.0
2966,694,-0.515,1.137,378.93,0.11,1.0,2.0,379.0
2967,697,-1.462,-0.521,1196.33,0.11,1.0,5.0,1196.0
