,event,eta,phi,PT,jmass,ntrk,btag,hadem
19652,33758,0.911,1.657,14.95,0.11,-1.0,4.0,16.0
19653,33759,0.962,-2.674,240.64,0.11,1.0,4.0,250.01
19654,33769,-0.636,1.922,199.32,0.11,1.0,3.0,204.01
19655,33774,-0.615,-0.25,276.31,0.11,1.0,11.0,279.04
19656,33782,0.316,-1.457,74.41,0.11,1.0,7.0,76.0
19657,33796,-0.483,0.01,47.49,0.11,-1.0,3.0,48.0
19658,33807,-1.077,0.939,262.39,0.11,1.0,4.0,266.02
19659,33811,-0.191,-0.921,325.99,0.11,1.0,5.0,326.0
19660,33818,-1.261,0.525,334.69,0.11,1.0,2.0,342.17
19661,33826,1.358,0.415,98.44,0.11,1.0,3.0,102.0
19662,33830,-0.013,2.177,65.38,0.11,1.0,3.0,67.15
19663,33838,-0.761,-1.444,400.85,0.11,1.0,3.0,474.28
19664,33840,-1.253,1.426,165.71,0.11,-1.0,4.0,167.05
19665,33844,0.626,1.662,99.95,0.11,-1.0,3.0,101.07
19666,33861,-0.102,-0.375,191.77,0.11,1.0,5.0,199.17
19667,33869,-0.165,2.545,123.07,0.11,-1.0,3.0,123.32
19668,33879,-0.844,2.286,21.36,0.11,1.0,3.0,21.0
19669,33898,-1.163,0.506,296.14,0.11,-1.0,3.0,296.0
19670,33899,-1.127,-1.844,45.12,0.11,1.0,4.0,47.18
19671,33907,-0.247,-0.86,24.7,0.11,-1.0,4.0,25.0
19672,33923,0.02,0.408,105.15,0.11,1.0,3.0,105.0
19673,33940,-0.984,-2.254,151.34,0.11,1.0,5.0,151.09
19674,33946,-0.93,-1.578,72.38,0.11,-1.0,3.0,72.04
19675,33950,-0.111,0.245,138.22,0.11,-1.0,3.0,138.0
19676,33957,-0.385,1.242,17.68,0.11,-1.0,3.0,18.0
19677,33964,-0.129,-2.055,285.24,0.11,-1.0,4.0,316.09
19678,33965,0.545,2.363,16.72,0.11,1.0,2.0,17.0
19679,33968,-0.713,-2.06,22.72,0.11,-1.0,3.0,23.15
19680,33983,-0.497,-2.937,64.56,0.11,1.0,2.0,65.04
19681,33986,0.834,-2.52,96.77,0.11,1.0,3.0,99.0
19682,33995,0.175,-2.249,384.37,0.11,1.0,3.0,384.0
19683,34001,0.757,1.825,99.67,0.11,1.0,4.0,100.0
19684,34022,0.116,1.052,107.7,0.11,1.0,3.0,109.1
19685,34024,-1.004,-1.699,345.27,0.11,-1.0,4.0,345.0
19686,34032,0.93,0.932,63.5,0.11,-1.0,4.0,64.0
