,event,eta,phi,PT,jmass,ntrk,btag,hadem
16993,7005,-0.664,1.784,89.65,20.87,1.0,0.0,0.0
16994,7010,-0.385,1.63,145.45,11.67,-1.0,0.0,999.9
16995,7018,0.648,2.848,377.45,69.98,1.0,0.0,0.56
16996,7032,0.3,-1.928,387.9,94.96,1.0,0.0,2.18
16997,7047,-0.684,-2.583,87.49,2.54,1.0,0.0,0.5
16998,7051,-0.438,2.444,498.81,125.44,-1.0,0.0,2.21
16999,7053,0.685,1.613,488.97,108.94,-1.0,0.0,0.58
17000,7062,-0.248,1.265,311.33,62.68,-1.0,0.0,0.0
17001,7064,0.132,-1.732,116.12,14.99,-1.0,0.0,0.0
17002,7072,3.231,3.004,36.79,7.45,-1.0,0.0,2.98
17003,7076,-0.009,0.61,195.92,25.83,1.0,0.0,0.21
17004,7080,1.571,-1.827,101.06,8.15,-1.0,0.0,0.12
17005,7085,0.905,1.381,573.93,108.35,-1.0,0.0,0.11
17006,7087,-0.028,-2.236,524.6,67.94,-1.0,0.0,0.46
17007,7087,1.018,1.493,324.42,60.05,1.0,0.0,0.03
17008,7094,0.664,-1.626,244.22,42.43,-1.0,0.0,0.07
17009,7109,-0.326,-1.605,292.91,31.31,-1.0,0.0,0.08
17010,7112,1.049,1.704,439.91,110.26,1.0,0.0,0.34
17011,7120,0.991,-2.223,373.46,54.21,1.0,0.0,0.72
17012,7123,1.146,0.401,72.02,9.69,1.0,0.0,0.0
17013,7132,0.5,-2.725,276.04,8.45,-1.0,0.0,999.9
17014,7145,1.306,1.297,264.4,21.05,-1.0,0.0,0.0
17015,7147,-1.34,1.023,54.94,9.04,1.0,0.0,2.17
17016,7155,1.089,-1.194,65.89,14.39,-1.0,0.0,0.97
17017,7159,-0.201,2.672,132.15,7.12,1.0,0.0,5.86
17018,7161,-1.355,1.883,648.33,173.64,1.0,0.0,0.58
17019,7170,0.89,-3.05,289.26,20.17,1.0,0.0,0.0
17020,7181,0.925,2.634,139.9,13.18,1.0,0.0,0.46
17021,7194,-1.4,0.062,192.49,40.52,1.0,0.0,0.55
17022,7194,-0.918,-0.303,42.32,6.83,1.0,0.0,0.0
17023,7195,0.35,0.943,78.18,15.4,1.0,0.0,1.88
17024,7200,0.288,0.099,169.52,11.31,1.0,0.0,0.0
17025,7219,-0.785,2.473,706.98,153.88,1.0,0.0,0.27
17026,7220,0.027,-1.626,359.2,43.56,-1.0,0.0,3.47
17027,7230,-0.907,-2.587,240.67,3.0,-1.0,0.0,0.0
17028,7238,-1.216,1.041,42.34,4.41,-1.0,0.0,0.12
17029,7245,1.609,2.547,144.6,10.24,1.0,0.0,0.03
17030,7247,-0.144,1.649,255.56,10.51,-1.0,0.0,0.0
17031,7259,1.678,0.926,236.77,54.73,1.0,0.0,0.69
17032,7261,0.824,-0.903,58.08,12.93,-1.0,0.0,0.0
17033,7265,1.709,-3.141,638.45,129.48,-1.0,0.0,1.66
17034,7265,0.247,-0.162,638.24,128.23,1.0,0.0,0.23
17035,7267,-0.199,-0.614,258.15,32.16,1.0,0.0,0.18
17036,7271,-0.609,0.145,57.27,11.14,-1.0,0.0,0.0
17037,7283,-1.093,1.336,277.47,23.86,-1.0,0.0,0.06
17038,7290,0.588,1.398,45.43,0.53,1.0,0.0,999.9
17039,7292,-1.512,1.371,34.99,9.11,-1.0,0.0,1.39
17040,7292,0.135,-1.357,26.08,1.05,-1.0,0.0,999.9
17041,7301,-3.07,1.0,88.02,17.1,1.0,0.0,1.78
17042,7302,-0.157,-2.342,540.6,96.38,-1.0,0.0,0.45
17043,7305,0.095,0.592,177.58,17.14,1.0,0.0,4.25
17044,7310,0.515,2.39,399.18,65.32,1.0,0.0,0.4
17045,7314,-0.703,-2.484,341.04,61.53,-1.0,0.0,1.79
17046,7322,0.092,-2.113,467.25,72.29,1.0,0.0,0.24
17047,7329,-1.085,-0.729,817.72,54.44,1.0,0.0,0.0
17048,7334,0.356,2.255,54.72,11.87,1.0,0.0,0.36
17049,7337,-0.227,-1.626,413.84,77.65,1.0,0.0,0.15
17050,7338,-1.809,-2.386,307.44,41.18,-1.0,0.0,0.35
17051,7338,-0.891,0.966,119.01,29.33,-1.0,0.0,0.29
17052,7341,-0.905,1.575,31.16,4.49,-1.0,0.0,999.9
17053,7346,-1.177,1.861,150.13,12.18,1.0,0.0,3.3
17054,7349,-0.096,1.013,277.44,18.35,-1.0,0.0,1.17
17055,7351,-0.614,2.689,110.42,11.32,1.0,0.0,1.95
17056,7355,2.098,3.004,67.41,6.44,-1.0,0.0,0.06
17057,7357,0.965,-2.709,449.58,64.6,-1.0,0.0,1.9
17058,7359,-0.755,-0.261,537.26,92.72,-1.0,0.0,0.6
17059,7359,-0.503,2.045,36.85,6.99,-1.0,0.0,0.0
17060,7359,-0.499,0.306,31.07,7.31,-1.0,0.0,0.0
17061,7361,1.91,-1.6,474.68,110.24,-1.0,0.0,0.09
17062,7363,0.877,-0.604,59.13,8.95,1.0,0.0,0.0
17063,7372,-1.566,-0.621,271.34,61.84,-1.0,0.0,0.78
17064,7374,0.186,-0.465,569.76,79.98,1.0,0.0,0.22
17065,7374,-0.915,2.752,497.96,82.06,-1.0,0.0,0.44
17066,7374,0.371,0.493,114.38,17.39,-1.0,0.0,0.13
17067,7377,-0.576,-1.76,28.08,7.64,1.0,0.0,1.89
17068,7382,0.957,3.078,154.7,11.42,-1.0,0.0,0.05
17069,7384,-0.974,-3.129,47.23,8.17,1.0,0.0,0.35
17070,7391,0.344,-2.927,183.77,28.22,-1.0,0.0,0.13
17071,7391,1.208,0.554,64.68,8.2,1.0,0.0,0.49
17072,7391,0.913,2.473,60.87,11.56,-1.0,0.0,0.24
17073,7400,-1.057,1.853,378.24,56.19,1.0,0.0,0.41
17074,7401,0.008,2.635,243.09,50.79,1.0,0.0,0.52
17075,7402,0.03,-2.185,442.21,65.32,-1.0,0.0,0.33
17076,7402,0.235,0.802,210.82,48.15,1.0,0.0,0.12
17077,7403,-1.073,-2.487,110.86,8.85,1.0,0.0,1.94
17078,7418,0.992,-1.81,472.83,21.91,1.0,0.0,4.03
17079,7423,-1.533,-1.483,510.67,55.18,1.0,0.0,0.04
17080,7424,0.701,3.065,386.79,58.57,1.0,0.0,0.0
17081,7439,-0.824,1.961,170.64,33.55,-1.0,0.0,1.69
17082,7442,0.023,2.63,295.45,50.08,1.0,0.0,0.09
17083,7448,-1.938,0.815,149.94,21.36,1.0,0.0,0.34
17084,7450,0.967,0.471,258.22,25.5,-1.0,0.0,1.96
17085,7450,1.416,-1.907,233.79,25.1,1.0,0.0,0.08
17086,7453,0.724,2.931,30.69,6.07,1.0,0.0,3.77
17087,7462,0.287,-0.032,29.64,4.0,1.0,0.0,0.0
17088,7463,1.016,-2.002,34.73,12.36,-1.0,0.0,0.55
17089,7472,-0.486,-2.474,33.24,6.57,1.0,0.0,999.9
17090,7480,-0.216,-0.585,932.97,83.39,1.0,0.0,0.2
17091,7483,-1.769,-2.287,386.64,27.02,1.0,0.0,2.11
17092,7488,-0.098,-2.19,292.24,18.77,1.0,0.0,0.94
17093,7488,-0.53,-2.491,163.05,3.44,1.0,0.0,999.9
17094,7489,-1.096,1.406,54.93,15.57,-1.0,0.0,0.61
17095,7491,0.498,1.773,60.62,5.55,-1.0,0.0,0.25
17096,7504,0.421,2.336,565.82,109.15,-1.0,0.0,0.0
17097,7508,-1.583,1.561,358.13,71.87,-1.0,0.0,0.63
17098,7510,0.336,2.91,902.09,96.29,1.0,0.0,0.01
17099,7514,-0.565,-3.131,478.77,52.03,-1.0,0.0,1.39
17100,7519,-0.098,-0.906,89.56,6.26,-1.0,0.0,0.72
17101,7525,-0.604,2.777,111.09,7.33,-1.0,0.0,999.9
17102,7528,0.403,1.197,119.82,12.7,-1.0,0.0,0.0
17103,7537,0.654,-0.251,36.31,9.59,1.0,0.0,1.51
17104,7541,0.501,2.447,217.04,45.65,-1.0,0.0,0.64
17105,7548,-0.058,2.215,645.26,147.81,-1.0,0.0,0.64
17106,7552,-1.362,-1.999,435.24,39.24,1.0,0.0,1.18
17107,7554,2.036,-2.019,45.09,3.26,1.0,0.0,1.53
17108,7576,-0.36,-1.225,650.87,115.15,-1.0,0.0,2.23
17109,7587,-0.791,-2.992,266.4,60.03,1.0,0.0,1.39
17110,7593,-0.085,-2.174,58.99,8.82,1.0,0.0,0.14
17111,7594,-0.998,1.619,34.5,11.31,1.0,0.0,0.0
17112,7596,1.184,-0.903,588.75,129.32,-1.0,0.0,1.17
17113,7600,-0.793,-2.272,707.27,70.57,-1.0,0.0,0.06
17114,7607,-1.647,0.647,432.74,94.33,-1.0,0.0,3.54
17115,7611,0.825,3.092,272.98,16.11,1.0,0.0,0.0
17116,7615,-0.579,-1.088,220.64,40.06,-1.0,0.0,0.08
17117,7622,-0.333,-1.262,267.45,30.2,-1.0,0.0,0.14
17118,7622,0.173,-1.178,157.06,2.7,-1.0,0.0,0.0
17119,7623,-1.212,2.683,121.97,6.9,-1.0,0.0,0.05
17120,7628,0.524,-0.091,367.04,78.09,-1.0,0.0,0.54
17121,7629,-0.323,-2.999,412.12,79.98,-1.0,0.0,0.0
17122,7629,-0.742,-0.117,42.16,3.03,1.0,0.0,0.0
17123,7630,-0.156,-2.842,91.12,14.43,-1.0,0.0,0.09
17124,7637,0.059,-0.069,1332.75,162.07,1.0,0.0,0.41
17125,7658,-0.666,-0.369,23.96,4.2,-1.0,0.0,0.0
17126,7659,-0.024,1.464,467.17,20.64,1.0,0.0,999.9
17127,7662,0.104,-1.938,561.34,125.57,-1.0,0.0,0.84
17128,7664,0.629,-0.248,150.1,29.61,-1.0,0.0,0.0
17129,7681,0.62,-2.918,572.37,101.95,1.0,0.0,0.44
17130,7681,0.532,0.685,204.59,30.43,-1.0,0.0,0.11
17131,7697,-2.424,0.796,28.26,7.96,1.0,0.0,1.59
17132,7701,0.996,-1.192,512.93,109.88,1.0,0.0,0.9
17133,7703,1.375,0.224,340.67,58.93,1.0,0.0,0.41
17134,7705,-0.339,-1.292,31.42,0.15,1.0,0.0,999.9
17135,7706,0.357,-1.912,456.91,45.81,-1.0,0.0,0.0
17136,7711,-0.816,-3.107,183.54,16.68,-1.0,0.0,0.0
17137,7722,0.2,-1.51,628.3,68.35,-1.0,0.0,0.03
17138,7722,1.093,1.078,92.36,5.85,1.0,0.0,0.06
17139,7731,-0.95,-1.137,165.14,6.82,1.0,0.0,0.0
17140,7744,-0.737,-0.39,549.52,39.08,1.0,0.0,0.14
17141,7746,0.593,-1.609,181.96,36.3,-1.0,0.0,0.57
17142,7748,-1.423,-0.083,181.77,18.61,1.0,0.0,6.75
17143,7751,0.204,1.079,479.22,102.94,-1.0,0.0,0.1
17144,7755,0.778,-1.625,496.06,88.08,1.0,0.0,0.23
17145,7758,-0.402,2.198,541.13,168.16,-1.0,0.0,0.79
17146,7759,1.566,-1.598,668.11,183.7,-1.0,0.0,2.62
17147,7765,0.499,2.44,148.29,1.23,-1.0,0.0,999.9
17148,7767,-0.794,-2.843,290.45,65.47,-1.0,0.0,1.42
17149,7768,0.609,-0.99,75.08,7.89,-1.0,0.0,2.68
17150,7775,-0.207,-2.137,606.15,171.17,-1.0,0.0,0.1
17151,7776,-0.397,-1.521,66.27,5.75,-1.0,0.0,0.0
