,event,eta,phi,PT,jmass,ntrk,btag,hadem
123,371,-1.782,-0.783,46.57,0.11,-1.0,31.0,50.27
124,373,-2.045,1.235,71.54,0.11,1.0,28.0,72.05
125,375,0.73,-0.97,37.88,0.11,1.0,13.0,41.0
126,380,1.451,2.992,238.71,0.11,-1.0,32.0,250.05
127,382,-0.811,-2.532,497.71,0.11,1.0,25.0,512.04
128,382,0.35,-0.545,127.44,0.11,-1.0,24.0,141.14
129,382,0.562,-2.375,94.51,0.11,1.0,21.0,110.12
130,383,-1.179,-0.317,75.19,0.11,1.0,21.0,115.61
131,384,1.154,-2.522,74.86,0.11,-1.0,10.0,75.04
132,386,0.77,-1.773,242.43,0.11,-1.0,39.0,245.24
133,389,0.988,0.137,143.84,0.11,-1.0,30.0,168.13
134,390,-0.217,3.007,160.52,0.11,1.0,21.0,175.09
135,390,-2.395,1.321,71.51,0.11,-1.0,24.0,73.05
136,394,1.078,-2.069,152.86,0.11,1.0,39.0,157.03
137,395,1.289,-0.59,83.27,0.11,-1.0,34.0,85.28
138,399,1.253,0.197,18.64,0.11,-1.0,21.0,24.32
139,400,-1.527,-0.531,16.04,0.11,1.0,31.0,16.65
140,402,0.065,0.404,36.7,0.11,-1.0,20.0,41.0
141,404,-0.917,1.545,106.16,0.11,-1.0,24.0,111.04
142,411,-0.969,-1.456,121.31,0.11,1.0,34.0,134.13
143,418,-1.94,-1.5,48.05,0.11,1.0,30.0,48.11
144,421,-1.051,-1.916,65.27,0.11,-1.0,41.0,66.14
145,422,-2.236,-2.127,31.69,0.11,1.0,17.0,37.06
146,427,-0.869,-3.024,100.3,0.11,1.0,20.0,105.03
147,427,-1.73,-1.604,30.68,0.11,1.0,26.0,33.05
148,428,0.882,0.528,11.55,0.11,-1.0,28.0,54.99
149,429,0.617,2.66,137.64,0.11,-1.0,34.0,150.07
150,431,1.499,-2.072,128.36,0.11,-1.0,28.0,336.99
151,435,-0.448,-3.109,78.08,0.11,-1.0,27.0,220.64
152,435,-0.547,3.033,61.84,0.11,1.0,27.0,224.73
153,438,-1.959,-2.333,50.12,0.11,1.0,32.0,59.14
154,439,-1.888,-0.793,20.65,0.11,-1.0,39.0,21.17
155,440,-1.826,-0.913,18.84,0.11,1.0,30.0,19.14
156,444,-1.688,-2.782,36.96,0.11,1.0,28.0,39.07
157,444,-1.247,2.862,10.51,0.11,1.0,25.0,11.0
158,449,1.803,1.123,105.7,0.11,-1.0,32.0,115.12
159,462,1.997,-0.343,35.49,0.11,1.0,26.0,36.02
160,462,1.601,0.218,17.57,0.11,1.0,32.0,18.15
161,463,1.126,0.489,48.02,0.11,-1.0,34.0,49.11
162,467,-1.922,-2.513,155.43,0.11,1.0,28.0,156.04
163,475,2.033,2.284,42.27,0.11,-1.0,22.0,43.06
164,476,1.484,-2.621,43.53,0.11,1.0,38.0,48.03
165,476,-2.305,-2.611,10.38,0.11,-1.0,18.0,10.0
166,480,1.796,0.412,24.64,0.11,1.0,16.0,26.1
