,event,eta,phi,PT,jmass,ntrk,btag,hadem
171,1005,-2.034,-2.809,30.06,0.0,1.0,0.0,0.0
172,1012,2.067,0.809,30.37,0.0,1.0,0.0,0.0
173,1027,1.646,1.278,72.91,0.0,-1.0,0.0,0.0
174,1032,-1.149,2.992,53.51,0.0,1.0,0.0,0.0
175,1032,-1.097,2.892,42.99,0.0,1.0,0.0,0.0
176,1037,0.198,-2.151,34.31,0.0,1.0,0.0,0.0
177,1044,2.186,-1.535,24.23,0.0,-1.0,0.0,0.0
178,1045,1.661,-1.125,126.7,0.0,-1.0,0.0,0.0
179,1047,-2.053,-2.639,35.71,0.0,-1.0,0.0,0.0
180,1049,2.041,2.528,66.0,0.0,-1.0,0.0,0.0
181,1056,2.055,0.85,64.94,0.0,1.0,0.0,0.0
182,1065,1.176,-1.467,78.42,0.0,1.0,0.0,0.0
183,1067,2.081,-0.807,57.73,0.0,1.0,0.0,0.0
184,1082,0.264,-1.885,204.06,0.0,1.0,0.0,0.0
185,1083,1.738,2.167,65.6,0.0,1.0,0.0,0.0
186,1084,-1.426,2.982,134.86,0.0,1.0,0.0,0.0
187,1084,1.376,-1.936,37.03,0.0,1.0,0.0,0.0
188,1085,1.618,-0.972,37.92,0.0,-1.0,0.0,0.0
189,1087,1.708,1.682,156.77,0.0,1.0,0.0,0.0
190,1087,-1.151,2.987,39.79,0.0,-1.0,0.0,0.0
191,1087,1.866,1.552,30.42,0.0,1.0,0.0,0.0
192,1090,1.218,2.542,73.14,0.0,1.0,0.0,0.0
193,1110,1.603,-1.563,29.98,0.0,1.0,0.0,0.0
194,1121,1.21,2.67,68.1,0.0,1.0,0.0,0.0
195,1123,1.837,2.447,46.18,0.0,1.0,0.0,0.0
196,1123,-2.093,-2.793,20.7,0.0,-1.0,0.0,0.0
197,1131,-1.472,0.154,30.56,0.0,1.0,0.0,0.0
198,1139,-2.374,0.398,23.18,0.0,-1.0,0.0,0.0
199,1148,1.423,-1.512,100.97,0.0,1.0,0.0,0.0
200,1165,-2.339,-1.547,24.1,0.0,-1.0,0.0,0.0
201,1170,1.601,0.906,69.29,0.0,-1.0,0.0,0.0
202,1175,0.927,-0.415,122.93,0.0,1.0,0.0,0.0
203,1176,-1.722,-2.207,52.04,0.0,-1.0,0.0,0.0
204,1185,-1.176,-0.01,177.73,0.0,1.0,0.0,0.0
205,1186,2.21,-0.39,21.01,0.0,1.0,0.0,0.0
206,1193,2.149,-0.859,19.41,0.0,1.0,0.0,0.0
207,1198,-0.205,2.464,234.57,0.0,1.0,0.0,0.0
208,1199,1.659,-1.737,65.94,0.0,-1.0,0.0,0.0
