,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
13138,450,jet,0.947,0.047,266.51,43.77,23.0,0.0,1.1
13139,450,jet,0.245,2.937,264.31,60.8,16.0,0.0,3.04
13140,450,jet,0.036,2.289,201.25,29.05,19.0,1.0,0.09
13141,450,jet,-0.607,-1.515,196.11,46.54,20.0,1.0,3.21
13142,450,jet,-0.313,0.699,193.9,51.46,26.0,1.0,1.21
13143,450,jet,0.596,-0.33,176.89,24.41,29.0,1.0,0.37
13144,450,jet,1.232,1.251,134.78,12.89,8.0,1.0,0.54
13145,450,jet,1.138,-1.732,123.5,31.21,12.0,0.0,1.47
13146,450,jet,0.43,-1.732,96.38,4.07,15.0,1.0,2.91
13147,450,jet,1.009,-0.689,63.61,3.73,8.0,0.0,0.0
13148,450,jet,-0.582,-2.155,37.5,1.88,18.0,1.0,1.09
13149,450,jet,2.412,1.889,29.25,3.26,5.0,0.0,0.0
13150,450,jet,1.519,-2.783,22.98,5.0,3.0,0.0,999.9
13151,450,MET,0.0,-1.553,289.12,0.0,0.0,0.0,0.0
13152,451,photon,0.789,-0.785,78.36,0.0,0.0,0.0,0.0
13153,451,electron,1.29,-1.709,126.05,0.0,1.0,0.0,0.0
13154,451,jet,0.346,-1.496,804.1,161.09,39.0,0.0,0.06
13155,451,jet,0.099,2.51,574.29,138.82,34.0,1.0,0.18
13156,451,jet,0.645,0.796,561.81,163.68,49.0,0.0,0.11
13157,451,jet,0.069,-3.054,336.63,70.9,30.0,0.0,0.36
13158,451,jet,1.113,-2.692,321.53,81.16,11.0,0.0,0.12
13159,451,jet,-0.478,1.294,313.63,74.28,27.0,0.0,0.68
13160,451,jet,1.359,1.381,280.04,35.28,6.0,1.0,0.0
13161,451,jet,-0.565,0.047,279.29,63.8,16.0,0.0,0.13
13162,451,jet,-0.008,0.665,228.31,51.94,54.0,0.0,0.09
13163,451,jet,-0.195,-1.114,181.07,31.77,26.0,1.0,0.22
13164,451,jet,0.408,1.836,157.77,29.65,20.0,1.0,0.16
13165,451,jet,0.222,-2.421,152.53,17.05,26.0,0.0,0.0
13166,451,jet,-0.933,-2.419,121.35,28.66,23.0,1.0,0.78
13167,451,jet,-0.655,-0.741,96.74,13.0,16.0,1.0,37.08
13168,451,jet,1.608,-0.225,95.44,17.29,11.0,1.0,0.24
13169,451,jet,-1.739,0.652,93.35,4.09,1.0,0.0,0.0
13170,451,jet,1.181,2.701,91.71,21.56,7.0,0.0,0.12
13171,451,jet,1.857,0.349,84.84,12.85,13.0,0.0,3.38
13172,451,jet,-1.473,1.451,69.94,12.16,9.0,0.0,0.0
13173,451,jet,-1.386,2.473,48.42,7.49,5.0,0.0,0.0
13174,451,jet,-0.006,-0.03,37.91,2.99,6.0,0.0,999.9
13175,451,jet,0.667,2.499,36.44,4.18,21.0,0.0,0.79
13176,451,jet,-0.124,-1.806,26.2,3.54,27.0,0.0,0.52
13177,451,jet,-0.906,-3.076,25.92,5.81,12.0,0.0,999.9
13178,451,MET,0.0,-2.861,205.33,0.0,0.0,0.0,0.0
13179,452,photon,-0.471,2.217,315.96,0.0,0.0,0.0,0.0
13180,452,photon,1.203,1.05,24.79,0.0,0.0,0.0,0.0
13181,452,electron,-0.335,2.888,174.22,0.0,-1.0,0.0,0.0
13182,452,tau,0.321,-0.56,654.01,225.46,1.0,0.0,0.4
13183,452,tau,-1.206,0.106,221.51,45.67,1.0,0.0,0.49
13184,452,tau,1.386,0.568,72.7,15.5,-1.0,0.0,2.07
13185,452,tau,1.919,1.284,38.1,7.25,-1.0,0.0,4.21
13186,452,tau,0.922,-0.603,33.6,8.07,1.0,0.0,1.14
13187,452,jet,0.131,-2.577,675.23,141.46,45.0,0.0,0.75
13188,452,jet,0.513,1.785,482.25,111.17,34.0,0.0,0.27
13189,452,jet,0.67,-1.322,432.45,105.69,33.0,0.0,0.63
13190,452,jet,-0.295,0.896,427.54,109.41,27.0,0.0,0.0
13191,452,jet,0.544,2.914,398.72,76.12,29.0,1.0,1.77
13192,452,jet,0.828,-1.932,278.16,63.86,27.0,1.0,0.9
13193,452,jet,-0.086,-1.504,244.27,56.11,28.0,1.0,0.13
13194,452,jet,0.216,0.636,187.55,26.84,13.0,1.0,2.12
13195,452,jet,-0.445,0.215,172.95,24.79,20.0,0.0,0.06
13196,452,jet,-0.407,-2.484,114.91,17.91,26.0,0.0,0.32
13197,452,jet,-0.937,-2.188,96.62,18.59,11.0,1.0,0.27
13198,452,jet,-0.813,-1.474,72.24,10.47,10.0,0.0,4.22
13199,452,jet,1.414,-1.895,68.23,16.33,16.0,0.0,0.15
13200,452,jet,1.536,-1.175,65.58,16.15,5.0,0.0,1.37
13201,452,jet,-0.633,-0.846,63.71,10.17,13.0,0.0,4.93
13202,452,jet,1.622,-0.362,52.35,7.85,5.0,0.0,0.92
13203,452,jet,1.934,-1.862,34.29,4.51,7.0,0.0,4.84
13204,452,jet,-0.358,-0.421,33.13,2.29,23.0,0.0,0.0
13205,452,jet,-1.602,-3.042,24.05,4.73,4.0,0.0,0.49
13206,452,MET,0.0,0.971,299.69,0.0,0.0,0.0,0.0
13207,453,photon,-0.944,1.023,11.11,0.0,0.0,0.0,0.0
13208,453,electron,-0.235,3.108,138.75,0.0,1.0,0.0,0.0
13209,453,muon,2.119,-1.713,48.58,0.11,1.0,15.0,49.07
13210,453,muon,-1.734,-2.945,46.94,0.11,-1.0,25.0,49.0
13211,453,tau,-0.076,-0.563,989.31,226.27,1.0,0.0,0.74
13212,453,jet,0.027,1.98,1445.69,339.99,40.0,0.0,0.5
13213,453,jet,0.361,2.752,591.53,140.59,27.0,0.0,0.43
13214,453,jet,-0.388,0.446,488.73,81.09,5.0,0.0,0.48
13215,453,jet,0.423,-2.565,445.46,72.36,24.0,0.0,0.27
13216,453,jet,0.095,-1.293,385.48,85.21,39.0,0.0,0.39
13217,453,jet,-0.42,-2.517,358.32,93.62,45.0,1.0,0.74
13218,453,jet,0.842,-1.512,305.44,55.7,18.0,0.0,2.77
13219,453,jet,1.186,-0.424,193.39,29.88,16.0,0.0,0.3
