,event,particle,eta,phi,PT,jmass,ntrk,btag,hadem
38107,5186,jet,-0.098,3.048,25.94,4.33,56.0,0.0,0.48
38108,5186,MET,0.0,2.764,142.5,0.0,0.0,0.0,0.0
38109,5187,jet,-0.451,-2.761,2796.21,172.95,36.0,0.0,0.24
38110,5187,jet,0.259,-0.151,2179.23,89.3,11.0,0.0,0.83
38111,5187,jet,0.99,1.024,1892.66,82.88,34.0,0.0,0.12
38112,5187,jet,2.146,1.096,31.81,6.8,3.0,0.0,0.41
38113,5187,MET,0.0,-2.651,633.85,0.0,0.0,0.0,0.0
38114,5188,jet,0.229,0.584,3143.32,177.57,24.0,0.0,0.06
38115,5188,jet,-0.122,-2.244,2669.67,398.01,50.0,0.0,0.74
38116,5188,jet,-0.305,1.605,896.37,19.08,9.0,1.0,0.35
38117,5188,jet,0.183,-2.763,466.07,61.45,53.0,1.0,1.46
38118,5188,jet,-0.776,2.205,160.05,20.07,15.0,0.0,0.29
38119,5188,jet,-0.098,-1.412,36.2,1.3,1.0,0.0,999.9
38120,5188,jet,-0.501,-1.835,30.83,0.87,12.0,1.0,999.9
38121,5188,jet,-1.41,2.864,23.57,4.07,5.0,0.0,1.58
38122,5188,MET,0.0,-2.243,594.36,0.0,0.0,0.0,0.0
38123,5189,jet,-0.322,-1.395,2266.45,136.68,25.0,0.0,0.17
38124,5189,jet,1.382,1.639,1634.67,178.65,31.0,0.0,2.01
38125,5189,jet,-0.133,2.277,931.52,39.16,25.0,0.0,0.89
38126,5189,jet,-1.013,-0.767,883.89,52.53,31.0,0.0,0.98
38127,5189,jet,0.428,2.218,769.67,42.07,34.0,0.0,0.07
38128,5189,jet,0.021,1.07,53.66,14.48,9.0,0.0,0.65
38129,5189,jet,-0.511,1.52,51.05,9.28,8.0,0.0,0.77
38130,5189,jet,0.393,1.407,30.47,4.77,8.0,0.0,0.0
38131,5189,MET,0.0,-1.203,272.29,0.0,0.0,0.0,0.0
38132,5190,tau,-0.489,3.113,2312.08,173.91,1.0,0.0,14.3
38133,5190,jet,0.006,-0.085,3329.48,547.35,70.0,0.0,2.51
38134,5190,jet,1.567,2.808,576.07,48.99,30.0,0.0,1.12
38135,5190,jet,1.142,-2.974,266.78,48.57,31.0,0.0,0.26
38136,5190,jet,2.419,1.85,60.91,7.34,7.0,0.0,0.44
38137,5190,jet,1.98,2.369,40.91,7.39,18.0,0.0,1.73
38138,5190,MET,0.0,2.997,150.57,0.0,0.0,0.0,0.0
38139,5191,jet,-0.777,0.612,3526.57,108.17,22.0,0.0,0.06
38140,5191,jet,-0.153,-2.502,3090.2,336.06,35.0,0.0,1.42
38141,5191,jet,2.933,2.329,179.19,14.67,0.0,0.0,5.1
38142,5191,jet,1.586,-0.687,44.96,6.8,8.0,0.0,13.79
38143,5191,MET,0.0,-2.413,393.07,0.0,0.0,0.0,0.0
38144,5192,jet,0.011,1.771,3360.25,69.11,16.0,0.0,0.01
38145,5192,jet,0.102,-2.388,2414.88,105.95,12.0,0.0,1.55
38146,5192,jet,-0.661,-0.545,2197.89,66.42,15.0,0.0,0.98
38147,5192,jet,-0.681,0.57,33.33,4.61,6.0,0.0,0.0
38148,5192,jet,3.752,1.558,23.07,2.77,0.0,0.0,6.99
38149,5192,MET,0.0,-0.781,755.47,0.0,0.0,0.0,0.0
38150,5193,jet,0.768,1.392,2689.9,127.69,35.0,1.0,0.21
38151,5193,jet,-0.414,-2.649,2232.11,24.0,8.0,0.0,0.0
38152,5193,jet,-0.326,-0.767,2230.2,111.78,20.0,0.0,1.49
38153,5193,jet,-1.654,-2.957,29.73,6.16,2.0,0.0,6.66
38154,5193,MET,0.0,-2.589,127.87,0.0,0.0,0.0,0.0
38155,5194,jet,-0.121,2.137,3049.29,129.03,33.0,0.0,0.51
38156,5194,jet,-1.012,-0.49,1672.38,67.75,24.0,0.0,4.47
38157,5194,jet,0.785,-2.524,1455.46,165.32,26.0,0.0,0.82
38158,5194,jet,1.228,-0.473,788.29,110.1,19.0,0.0,0.86
38159,5194,jet,1.117,-1.243,195.7,24.98,20.0,0.0,0.14
38160,5194,jet,0.629,-1.487,72.46,9.02,14.0,0.0,0.31
38161,5194,jet,-0.842,1.954,58.1,6.79,6.0,0.0,0.0
38162,5194,jet,0.28,1.401,24.85,2.89,5.0,0.0,0.0
38163,5194,MET,0.0,-0.62,718.29,0.0,0.0,0.0,0.0
38164,5195,jet,-0.065,-2.149,2621.15,149.63,30.0,0.0,0.1
38165,5195,jet,0.233,1.128,1502.62,38.61,17.0,0.0,0.01
38166,5195,jet,-0.011,-0.977,1142.04,61.69,15.0,0.0,1.62
38167,5195,jet,-0.394,2.385,633.84,58.8,36.0,0.0,0.07
38168,5195,jet,-0.521,0.549,609.03,100.9,33.0,0.0,3.16
38169,5195,jet,-0.393,2.815,247.73,44.72,41.0,0.0,0.5
38170,5195,jet,0.386,-2.443,238.16,11.75,17.0,1.0,0.0
38171,5195,jet,0.15,2.0,162.57,26.69,30.0,0.0,1.57
