,HT,met,phi_diff,ptmax,stuff_amount
96,7168.78,549.51,0.13440734641020669,599.49,33
97,6810.87,257.21,2.4785926535897933,794.45,25
98,5100.670000000001,405.97,1.4894073464102071,485.93,31
99,6484.5599999999995,659.55,2.9801853071795863,810.37,24
100,7123.13,274.22,0.4444073464102072,699.55,36
101,6607.46,314.72,0.45540734641020686,1085.96,28
102,6679.179999999999,336.73,1.660185307179586,1004.45,28
103,5972.169999999999,164.34,0.5245926535897931,486.89,35
104,5583.6100000000015,274.77,0.04059265358979314,957.23,31
105,6930.389999999999,314.26,1.3505926535897932,1217.85,27
106,6073.15,362.3,2.162,894.93,29
107,6677.400000000001,498.36,1.953592653589793,715.5,30
108,5676.42,343.48,1.144,562.28,27
109,6167.42,275.74,2.145592653589793,887.5,28
110,6634.54,75.31,0.5285926535897931,991.08,30
111,6113.67,223.27,0.7815926535897932,630.94,29
112,5879.7300000000005,285.55,2.032,883.48,28
113,5515.72,52.72,2.277185307179586,663.26,36
114,6448.8,382.36,2.4265926535897933,694.13,31
115,7114.66,255.94,1.9215926535897931,882.87,25
116,7336.870000000001,740.79,3.0,1323.79,25
117,6016.089999999999,165.09,1.903,717.34,29
118,6140.15,406.98,1.355,730.79,27
119,6425.990000000001,122.7,1.9349999999999998,744.06,33
120,7252.269999999999,236.4,1.970592653589793,1022.31,26
121,7265.460000000001,514.67,2.104185307179586,1016.57,29
122,5925.91,139.46,0.13540734641020702,855.55,34
123,5648.71,173.87,0.8989999999999999,607.25,35
124,7008.569999999999,324.78,1.233,1172.91,29
125,6676.219999999999,248.73,2.545,830.53,30
126,6335.42,268.15,1.4229999999999998,1283.47,29
127,4639.130000000001,64.73,0.011592653589793223,515.26,32
128,5812.739999999999,71.49,0.17400000000000004,688.43,27
129,6932.49,411.56,0.7965926535897934,1166.67,30
130,7036.01,456.41,0.04540734641020716,720.34,35
131,5708.229999999999,508.77,2.56,666.98,29
132,5224.350000000001,45.74,1.9584073464102065,460.5,37
133,6919.260000000001,413.35,2.646185307179586,1240.71,28
134,5934.5,449.79,2.437,938.57,29
135,6425.879999999999,509.77,0.9684073464102063,564.89,33
136,4670.4800000000005,435.49,0.5805926535897932,569.03,26
137,5164.58,202.97,0.010407346410207019,579.77,28
138,5328.469999999999,191.2,2.367,723.91,28
139,5902.400000000001,478.27,2.256185307179587,629.71,30
140,4889.410000000001,282.69,0.9319999999999999,677.57,30
141,5666.159999999999,436.62,2.993185307179586,961.28,26
